australis	fimp	fconn	densep	unseal
0	0.46	0.22	113.6	2
0	0.39	0.21	69	1.31
0	0.5	0.79	65.8	1.46
1	0.43	0	64.5	1.6
0	0.4	0.21	61.1	1.3
0	0.48	0.77	46.5	1.48
0	0.47	0.79	44.4	1.31
0	0.72	0.99	14.7	0.38
1	0.49	0.18	71.7	0.23
0	0.57	0.83	103.5	0.31
0	0.59	0.89	106.1	0.28
0	0.6	0.94	80.4	0.44
0	0.59	0.94	67.4	0.46
0	0.63	0.96	42.7	0.51
0	0.69	0.98	31.1	0.38
0	0.34	0	0	2.5
0	0.61	0.95	40.4	0.69
0	0.51	0.87	52.9	0.58
0	0.45	0.14	53.5	1.71
0	0.32	0	17.7	0.63
0	0.53	0.51	75.8	0
1	0.41	0.12	39.6	0.88
0	0.39	0.12	32.2	0.68
0	0.41	0.47	54.1	0.6
0	0.47	0.83	71.6	0.37
0	0.79	1	0.1	0.15
0	0.82	1	0	0.04
1	0.5	0	80.4	0.47
1	0.31	0	0	2.18
1	0.52	0.6	112.2	1.33
1	0.4	0	61.9	2.45
1	0.26	0	0	2.49
1	0.22	0	0	2.18
1	0.49	0.55	124.5	1.45
1	0.21	0	0	1.69
1	0.18	0	0	2.24
1	0.5	0.5	135.5	1.85
1	0.49	0.47	123.1	1.65
1	0.17	0	0	1.73
0	0.48	0.47	110.4	1.62
0	0.38	0.41	48.8	1.6
0	0.4	0.49	45.5	1.49
1	0.45	0.27	55.7	0.75
1	0.41	0.27	37.9	0.92
0	0.41	0.22	43.8	1.22
0	0.55	0.67	154.1	0.99
0	0.54	0.36	119.9	0.48
1	0.39	0	53.6	0.95
1	0.56	0.54	147	1.37
0	0.48	0.62	74.9	0.73
0	0.44	0.54	71.7	1.04
0	0.5	0.53	124.5	0.85
0	0.46	0.6	84.9	1.16
0	0.5	0.52	124.6	0.87
0	0.5	0.56	126.6	0.92
0	0.5	0.59	122	0.93
0	0.46	0.6	88.6	1.03
0	0.46	0.6	88.5	1.03
