"site"	"fimp"	"sconn"	"sdensep"	"unsealden"	"fcarea"	"selev"	"amgeast"	"ldoc"	"lec"	"lnox"
"Bg"	0.511595743336553	0.752215394684262	7.26636084983398	0.005821574	1.5512809877456	11.5325625946708	351992	0.921133401568667	2.67667811617075	0.155392090015968
"Br"	0.683596349899418	0.945374528956646	6.14817045957576	0.000295345	1.96102547860977	9.05538513813742	350706	0.703310474386188	2.80265122228573	-0.299518346486781
"Da"	0.397642521626842	0.412981839794439	7.84219357067906	0.013312857	1.43507593078008	12.4096736459909	352585	0.37864852330843	2.08425179975544	0.0284623425343598
"Do"	0.52581693905083	0.68869514300596	6.61815684310972	0.012302183	1.38261210860778	12.9614813968157	352500	0.478593668888486	2.26906577385406	0.129146495785807
"Dt"	0.432846791565582	0.345794736802051	7.90569415042095	0.017589067	1.28803720200904	13.1529464379659	352780	0.388332665068449	2.33825785975177	0.0990800636884297
"Em"	0.386073840999679	0	7.65506368360186	0.010000018	1.17049954947999	17.0293863659264	358831	0.194738752307152	1.91614600595325	0.0260803393810487
"Fe"	0.589587390371558	0.887740389978962	8.96660470858396	0.004386429	1.59152232893149	12.7671453348037	352696	0.725759862096816	2.63811239591317	0.125120106319231
"Ga"	0.829084154398698	0.990936930384573	0	0	1.77004364172785	9	337030	0.720790158176669	2.67179171864085	-0.49241481952726
"Ly"	0.164235845160566	0	0	0.017359571	1.64023399562081	14.8996644257513	358953	0.390210304159814	1.91871602770611	-0.514814391680769
"Mc"	0.166720212190365	0	1.18321595661992	0.004718112	1.90251625193445	14.142135623731	375893	0.506251508638436	1.891079301805	-0.592217460604491
"Ol"	0.443382907323177	0.173545383113467	9.39148550549912	0.01506011	1.73529467388955	14.8996644257513	358938	0.333896322876723	2.04426924234614	0.165586742666916
"Pe"	0.478838701444774	0.444201530839325	8.65447860936752	0.007291771	1.21458439898525	18.0831413200251	356620	0.234602319257236	1.99205841726236	0.208113820743518
"Sa"	0.532238294715877	0.287953121184682	11.8743420870379	0.012958804	1.17298654330311	19.2353840616713	355774	0.266767257188895	2.04394987229049	0.225732100220323
"Sc"	0.789275526786507	0.993415321001242	0	0	1.68824601649014	8.83176086632785	335836	0.697577682080357	2.60951542045954	-0.565879584721697
"St"	0.566866676089671	0.764329117592677	6.92098258919931	0.006726084	1.45740003628626	11.7046999107196	360027	0.804196070259435	2.81031329494888	-0.732662257981689
